CUSTOMERID;TENURE;CONTRACT;MONTHLYCHARGES;INTERNETSERVICE;TECHSUPPORT;ONLINESECURITY;ONLINEBACKUP;PAYMENTMETHOD;PAPERLESSBILLING;SENIORCITIZEN;PARTNER;DEPENDENTS;SCORE_RISQUE;SEGMENT_STRATEGIQUE
2908-WGAXL;56;Two year;24,95;No;No internet service;No internet service;No internet service;Credit card (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
5622-UEJFI;35;Two year;25,4;No;No internet service;No internet service;No internet service;Credit card (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
6734-JDTTV;65;Two year;19,85;No;No internet service;No internet service;No internet service;Credit card (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
2181-TIDSV;68;Two year;19,95;No;No internet service;No internet service;No internet service;Bank transfer (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
5220-AGAAX;68;Two year;24;No;No internet service;No internet service;No internet service;Bank transfer (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
7503-EPSZW;64;Two year;24,05;No;No internet service;No internet service;No internet service;Mailed check;Yes;0;Yes;Yes;1;Surveillance Relationnelle
6609-MXJHJ;30;Two year;25,1;No;No internet service;No internet service;No internet service;Mailed check;Yes;0;Yes;Yes;1;Surveillance Relationnelle
9430-NKQLY;72;Two year;25,1;No;No internet service;No internet service;No internet service;Credit card (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
8450-LUGUK;37;Two year;24,1;No;No internet service;No internet service;No internet service;Bank transfer (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
7008-LZVOZ;66;Two year;25,3;No;No internet service;No internet service;No internet service;Credit card (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
2607-DHDAK;72;Two year;19,8;No;No internet service;No internet service;No internet service;Credit card (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
8143-ETQTI;23;Two year;19,65;No;No internet service;No internet service;No internet service;Mailed check;Yes;0;Yes;Yes;1;Surveillance Relationnelle
0206-OYVOC;46;Two year;19,25;No;No internet service;No internet service;No internet service;Mailed check;Yes;0;Yes;Yes;1;Surveillance Relationnelle
9135-HSWOC;64;Two year;19,7;No;No internet service;No internet service;No internet service;Bank transfer (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
7729-XBTWX;66;Two year;19,75;No;No internet service;No internet service;No internet service;Mailed check;Yes;0;Yes;Yes;1;Surveillance Relationnelle
2718-YSKCS;71;Two year;19,6;No;No internet service;No internet service;No internet service;Bank transfer (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
2263-SFSQZ;51;Two year;24,95;No;No internet service;No internet service;No internet service;Mailed check;Yes;0;Yes;Yes;1;Surveillance Relationnelle
9950-MTGYX;28;Two year;20,3;No;No internet service;No internet service;No internet service;Credit card (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
3120-FAZKD;54;Two year;24,05;No;No internet service;No internet service;No internet service;Bank transfer (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
4625-XMOYM;72;Two year;26,25;No;No internet service;No internet service;No internet service;Bank transfer (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
1820-DJFPH;72;Two year;24,05;No;No internet service;No internet service;No internet service;Bank transfer (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
3359-DSRKA;58;Two year;19,85;No;No internet service;No internet service;No internet service;Mailed check;Yes;0;Yes;Yes;1;Surveillance Relationnelle
9593-CVZKR;56;Two year;24,45;No;No internet service;No internet service;No internet service;Mailed check;Yes;0;Yes;Yes;1;Surveillance Relationnelle
8807-OPMBM;55;Two year;25,65;No;No internet service;No internet service;No internet service;Credit card (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
2799-TSLAG;65;Two year;25,3;No;No internet service;No internet service;No internet service;Bank transfer (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
5902-WBLSE;70;Two year;20,15;No;No internet service;No internet service;No internet service;Credit card (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
7647-GYYKX;54;Two year;20,35;No;No internet service;No internet service;No internet service;Bank transfer (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
9585-KKMFD;41;Two year;20;No;No internet service;No internet service;No internet service;Mailed check;Yes;0;Yes;Yes;1;Surveillance Relationnelle
1089-XZWHH;24;Two year;19,7;No;No internet service;No internet service;No internet service;Mailed check;Yes;0;Yes;Yes;1;Surveillance Relationnelle
9648-BCHKM;18;Two year;24,65;No;No internet service;No internet service;No internet service;Credit card (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
2888-ADFAO;47;Two year;21,3;No;No internet service;No internet service;No internet service;Bank transfer (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
3580-GICBM;61;Two year;24,2;No;No internet service;No internet service;No internet service;Mailed check;Yes;0;Yes;Yes;1;Surveillance Relationnelle
7480-SPLEF;69;Two year;26;No;No internet service;No internet service;No internet service;Bank transfer (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
0506-YLVKJ;46;Two year;20,2;No;No internet service;No internet service;No internet service;Mailed check;Yes;0;Yes;Yes;1;Surveillance Relationnelle
6813-GZQCG;45;Two year;24,65;No;No internet service;No internet service;No internet service;Credit card (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
9418-RUKPH;38;Two year;19,95;No;No internet service;No internet service;No internet service;Mailed check;Yes;0;Yes;Yes;1;Surveillance Relationnelle
7558-IMLMT;67;Two year;20,8;No;No internet service;No internet service;No internet service;Mailed check;Yes;0;Yes;Yes;1;Surveillance Relationnelle
5115-SQAAU;69;Two year;25,6;No;No internet service;No internet service;No internet service;Bank transfer (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
8577-QSOCG;38;Two year;20,2;No;No internet service;No internet service;No internet service;Mailed check;Yes;0;Yes;Yes;1;Surveillance Relationnelle
0613-WUXUM;70;Two year;19,2;No;No internet service;No internet service;No internet service;Mailed check;Yes;0;Yes;Yes;1;Surveillance Relationnelle
0508-SQWPL;57;Two year;20,1;No;No internet service;No internet service;No internet service;Bank transfer (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
6685-XSHHU;60;Two year;20,95;No;No internet service;No internet service;No internet service;Bank transfer (automatic);Yes;0;Yes;Yes;1;Surveillance Relationnelle
3967-VQOGC;67;Two year;24,9;No;No internet service;No internet service;No internet service;Mailed check;Yes;0;Yes;Yes;1;Surveillance Relationnelle
1293-BSEUN;72;Two year;20,7;No;No internet service;No internet service;No internet service;Mailed check;Yes;0;Yes;Yes;1;Surveillance Relationnelle
6345-FZOQH;69;Two year;19,9;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
4443-EMBNA;71;Two year;24,75;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
4785-FCIFB;61;Two year;24,4;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
0505-SPOOW;70;Two year;19,8;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
5781-RFZRP;71;Two year;73,5;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
2077-DDHJK;68;Two year;70,9;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
6885-PKOAM;71;Two year;85,75;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
8966-SNIZF;70;Two year;19,45;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
2545-LXYVJ;72;Two year;20,7;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
4312-KFRXN;72;Two year;25,4;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
6425-JWTDV;48;Two year;19,25;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
5787-KXGIY;72;Two year;19,3;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
6115-ZTBFQ;72;Two year;65,5;DSL;Yes;Yes;Yes;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
7115-IRDHS;72;Two year;24,65;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
5095-ETBRJ;55;Two year;56,8;DSL;Yes;Yes;Yes;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
3910-MRQOY;72;Two year;19,4;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
3084-DOWLE;72;Two year;92;DSL;Yes;Yes;Yes;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
2632-TACXW;62;Two year;23,65;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
9646-NMHXE;47;Two year;19,65;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
8590-YFFQO;70;Two year;64,95;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
0971-QIFJK;69;Two year;24,25;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
0404-AHASP;72;Two year;19,7;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
3768-VHXQO;67;Two year;24,85;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
8540-ZQGEA;54;Two year;20,05;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
7898-PDWQE;71;Two year;80,4;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
9764-REAFF;59;Two year;18,4;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
7552-KEYGT;27;Two year;19,55;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
6625-FLENO;58;Two year;20,75;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
4836-WNFNO;72;Two year;25;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
5129-HHMZC;43;Two year;86,45;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
1087-GRUYI;38;Two year;20,4;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
7398-HPYZQ;71;Two year;90,55;DSL;Yes;Yes;Yes;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
2251-PYLPB;72;Two year;79,55;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
1927-QEWMY;72;Two year;20,5;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
3200-MNQTF;67;Two year;70,9;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
1657-DYMBM;53;Two year;19,9;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
3027-YNWZU;64;Two year;25;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
6461-SZMCV;71;Two year;87,95;DSL;Yes;Yes;Yes;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
4231-LZUYM;72;Two year;25,65;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
9372-TXXPS;60;Two year;59,85;DSL;Yes;Yes;Yes;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
0936-NQLJU;41;Two year;20,65;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
8857-CUPFQ;63;Two year;19,25;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
8347-GDTMP;64;Two year;19,45;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
8237-ULIXL;72;Two year;24,85;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
9153-BTBVV;71;Two year;25;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
9453-PATOS;72;Two year;85,1;DSL;Yes;Yes;Yes;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
5044-XDPYX;51;Two year;25,5;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
5879-HMFFH;72;Two year;88,05;DSL;Yes;Yes;Yes;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
2696-RZVZW;68;Two year;25,05;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
5766-FTRTS;72;Two year;84,45;DSL;Yes;Yes;Yes;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
6060-QBMGV;70;Two year;19,85;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
1591-XWLGB;71;Two year;19,85;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
3913-RDSJZ;64;Two year;25,55;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
1073-XXCZD;55;Two year;25,7;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
5821-MMEIL;57;Two year;19,9;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
9065-ZCPQX;72;Two year;78,85;DSL;Yes;Yes;Yes;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
8747-UDCOI;65;Two year;19,35;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
2176-OSJUV;71;Two year;65,15;DSL;Yes;Yes;Yes;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
8749-TZYEC;72;Two year;24,8;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
8285-ABVLB;70;Two year;19,85;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
5915-ANOEI;70;Two year;79,15;DSL;Yes;Yes;Yes;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
7463-IFMQU;72;Two year;20,05;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
7602-DBTOU;71;Two year;19,6;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
3284-SVCRO;45;Two year;25,5;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
2235-EZAIK;72;Two year;79,2;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
5208-FVQKB;70;Two year;67,95;DSL;Yes;Yes;Yes;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
2072-ZVJJX;68;Two year;25,25;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
6695-AMZUF;70;Two year;86,45;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
3873-WOSBC;67;Two year;25,6;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
7975-JMZNT;66;Two year;91,7;DSL;Yes;Yes;Yes;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
1945-XISKS;67;Two year;19,65;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
0825-CPPQH;71;Two year;19,1;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
9499-XPZXM;72;Two year;64,75;DSL;Yes;Yes;Yes;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
1215-EXRMO;50;Two year;20,55;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
7161-DFHUF;71;Two year;23,85;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
4774-HHGGS;30;Two year;19,05;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
1987-AUELQ;71;Two year;25,05;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
5846-ABOBJ;71;Two year;24,45;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
8774-GSBUN;72;Two year;25,4;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
1328-EUZHC;18;Two year;20,1;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
6374-AFWOX;46;Two year;65,65;DSL;Yes;Yes;Yes;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
6010-DDPPW;70;Two year;25,15;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
7096-ZNBZI;72;Two year;26,45;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
1241-EZFMJ;61;Two year;25,45;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
0704-VCUMB;61;Two year;20,25;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
2535-PBCGC;70;Two year;64,55;DSL;Yes;Yes;Yes;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
4254-QPEDE;52;Two year;66,25;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
1460-UZPRJ;60;Two year;19,95;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
6551-VLJMV;34;Two year;20,05;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
6370-ZVHDV;61;Two year;25,3;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
6087-YPWHO;72;Two year;68,15;DSL;Yes;Yes;Yes;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
2194-IIQOF;71;Two year;89,3;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
5093-FEGLU;47;Two year;19,65;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
4589-IUAJB;70;Two year;24,25;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
3118-UHVVQ;68;Two year;25,8;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
3967-KXAPS;72;Two year;92,3;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
4940-KHCWD;60;Two year;37,7;DSL;Yes;Yes;Yes;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
2509-TFPJU;72;Two year;25,75;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
3779-OSWCF;71;Two year;93,2;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
4933-BSAIP;40;Two year;19,1;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
4707-MAXGU;72;Two year;25,85;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
6848-HJTXY;64;Two year;19,45;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
2169-RRLFW;71;Two year;25,6;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
9548-LERKT;24;Two year;19,75;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
4980-URKXC;36;One year;20,85;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
7471-WNSUF;60;One year;24,15;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
9824-QCJPK;36;One year;20;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
2361-UPSND;46;One year;70,6;DSL;Yes;Yes;Yes;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
3778-FOAQW;24;One year;20,15;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
9891-NQDBD;28;One year;25,55;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
0219-QAERP;30;One year;19,8;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
3594-BDSOA;24;One year;20,4;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
6765-MBQNU;26;One year;26;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
0621-TSSMU;56;One year;19,95;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
9451-WLYRI;53;One year;19,05;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
6685-GBWJZ;63;One year;70,8;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
3079-BCHLN;47;One year;19,9;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
9732-OUYRN;49;One year;19;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
8430-TWCBX;49;One year;20,7;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
1088-CNNKB;63;One year;80;DSL;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
7305-ZWMAJ;30;One year;20,7;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
1866-DIOQZ;71;One year;66,8;DSL;Yes;Yes;Yes;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
1439-LCGVL;26;One year;19,2;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
4092-OFQZS;20;One year;20,65;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
7813-TKCVO;20;One year;20,35;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
1074-WVEVG;59;One year;20,35;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
5474-LAMUQ;24;One year;20,1;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;1;Surveillance Relationnelle
0048-PIHNL;49;One year;20,45;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
8469-SNFFH;70;One year;79,4;DSL;Yes;Yes;Yes;Bank transfer (automatic);No;0;Yes;No;1;Surveillance Relationnelle
9347-AERRL;23;One year;19,3;No;No internet service;No internet service;No internet service;Credit card (automatic);No;0;Yes;No;1;Surveillance Relationnelle
1680-VDCWW;12;One year;19,8;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;2;Surveillance Relationnelle
0526-SXDJP;72;Two year;42,1;DSL;No;Yes;Yes;Bank transfer (automatic);No;0;Yes;No;2;Surveillance Relationnelle
3067-SVMTC;68;One year;55,9;DSL;Yes;Yes;No;Bank transfer (automatic);No;0;Yes;No;2;Surveillance Relationnelle
6152-ONASV;68;One year;58,25;DSL;Yes;Yes;No;Bank transfer (automatic);No;0;Yes;No;2;Surveillance Relationnelle
4134-BSXLX;28;Month-to-month;60,9;DSL;Yes;Yes;Yes;Mailed check;No;0;Yes;No;2;Surveillance Relationnelle
4723-BEGSG;72;Two year;86,65;DSL;Yes;Yes;No;Credit card (automatic);No;0;Yes;No;2;Surveillance Relationnelle
7838-LAZFO;45;One year;78,8;DSL;No;Yes;Yes;Bank transfer (automatic);No;0;Yes;No;2;Surveillance Relationnelle
2085-JVGAD;37;Month-to-month;20,35;No;No internet service;No internet service;No internet service;Bank transfer (automatic);No;0;Yes;No;2;Surveillance Relationnelle
1950-KSVVJ;45;One year;113,3;Fiber optic;Yes;Yes;Yes;Mailed check;No;0;Yes;No;2;Surveillance Relationnelle
0214-JHPFW;70;Two year;57,8;DSL;Yes;No;Yes;Bank transfer (automatic);No;0;Yes;No;2;Surveillance Relationnelle
0114-IGABW;71;Two year;58,25;DSL;Yes;No;Yes;Bank transfer (automatic);No;0;Yes;No;2;Surveillance Relationnelle
2521-NPUZR;70;Two year;101;Fiber optic;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;No;2;Surveillance Relationnelle
8098-TDCBU;42;Two year;25,25;No;No internet service;No internet service;No internet service;Electronic check;No;0;Yes;No;2;Surveillance Relationnelle
6870-ZWMNX;70;Two year;76,1;DSL;Yes;No;Yes;Credit card (automatic);No;0;Yes;No;2;Surveillance Relationnelle
0455-ENTCR;66;Two year;85,25;DSL;Yes;Yes;Yes;Electronic check;No;0;Yes;No;2;Surveillance Relationnelle
9068-VPWQQ;61;Two year;75,35;DSL;Yes;Yes;No;Credit card (automatic);No;0;Yes;No;2;Surveillance Relationnelle
0536-BGFMZ;28;Month-to-month;20,5;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;2;Surveillance Relationnelle
4102-HLENU;67;Two year;65,65;DSL;No;Yes;Yes;Mailed check;No;0;Yes;No;2;Surveillance Relationnelle
3422-WJOYD;28;One year;54,35;DSL;Yes;Yes;No;Mailed check;No;0;Yes;No;2;Surveillance Relationnelle
8146-QQKZH;71;Two year;81,85;DSL;Yes;Yes;No;Bank transfer (automatic);No;0;Yes;No;2;Surveillance Relationnelle
4522-XRWWI;42;One year;80,45;DSL;Yes;Yes;No;Credit card (automatic);No;0;Yes;No;2;Surveillance Relationnelle
3533-UVMOM;68;Two year;70,95;DSL;No;Yes;Yes;Bank transfer (automatic);No;0;Yes;No;2;Surveillance Relationnelle
1498-DQNRX;29;Month-to-month;19,85;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;2;Surveillance Relationnelle
7359-WWYJV;72;Two year;114,45;Fiber optic;Yes;Yes;Yes;Credit card (automatic);No;0;Yes;No;2;Surveillance Relationnelle
9575-IWCAZ;6;One year;25,1;No;No internet service;No internet service;No internet service;Mailed check;No;0;Yes;No;2;Surveillance Relationnelle
7336-RLLRH;27;One year;80,85;DSL;Yes;Yes;No;Mailed check;No;0;Yes;No;2;Surveillance Relationnelle
